ID	fmut
1	1.34890330555009e-15
2	1.34890330555009e-15
3	1.34890330555009e-15
4	1.34890330555009e-15
5	1.34890330555009e-15
6	1.34890330555009e-15
7	0.242482880306836
8	1.34890330555009e-15
9	1.34890330555009e-15
10	1.34890330555009e-15
11	1.34890330555009e-15
12	1.34890330555009e-15
13	1.34890330555009e-15
14	1.34890330555009e-15
15	1.34890330555009e-15
16	1.34890330555009e-15
17	0.112226875758929
18	1.34890330555009e-15
19	1.34890330555009e-15
20	1.34890330555009e-15
21	1.34890330555009e-15
22	1.34890330555009e-15
23	1.34890330555009e-15
24	0.166520712012669
25	1.34890330555009e-15
26	1.34890330555009e-15
27	1.34890330555009e-15
28	1.34890330555009e-15
29	1.34890330555009e-15
30	1.34890330555009e-15
